@RELATION expat-generated-output
@ATTRIBUTE "sentence" STRING
@ATTRIBUTE "geosig" NUMERIC
@ATTRIBUTE "spatial" NUMERIC
@ATTRIBUTE "geospatial" NUMERIC
@ATTRIBUTE "abstracted" STRING
@ATTRIBUTE "sverb qual geoentity simple" NUMERIC
@ATTRIBUTE "sverb qual geoentity" NUMERIC
@ATTRIBUTE "sverb qual rel geoentity complex" NUMERIC
@ATTRIBUTE "sverb qual rel non-spatial-1" NUMERIC
@ATTRIBUTE "sverb qual rel non-spatial-2" NUMERIC
@ATTRIBUTE "sverb to dir" NUMERIC
@ATTRIBUTE "svs lcs rel geo-entity" NUMERIC
@ATTRIBUTE "svs lcs rel non-geo-entity" NUMERIC
@ATTRIBUTE "svs nn geonoun" NUMERIC
@ATTRIBUTE "svs geonoun" NUMERIC
@ATTRIBUTE "svs geonoun dir" NUMERIC
@ATTRIBUTE "svs noun noun" NUMERIC
@ATTRIBUTE "lcs" NUMERIC
@ATTRIBUTE "spatialverb" NUMERIC
@ATTRIBUTE "noun" NUMERIC
@ATTRIBUTE "dir" NUMERIC
@ATTRIBUTE "qtf" NUMERIC
@ATTRIBUTE "person" NUMERIC
@ATTRIBUTE "location" NUMERIC
@ATTRIBUTE "misc" NUMERIC
@ATTRIBUTE "org" NUMERIC
@ATTRIBUTE "gnn" NUMERIC
@DATA
"Registeel is at level 40 when you battle it.",0,0,0,"NOUN is at NOUN QTF when you battle it .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Refresh will make paralysis useless against Latias, so use sleep status against it.",0,0,0,"GNN will make NOUN useless against NOUN , so use NOUN against it .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"Timer Balls begin at 1 and increase every 10 turns, with a cap of 4.",0,0,0,"NOUN SVB at QTF and increase every QTF NOUN , with LCS of QTF .",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0
"Additionally, they can be won from the daily lottery held at the Lilycove Dept. Store.",1,0,0,"Additionally , they can be won from NOUN SVB at ORG .",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Make sure you have a maximum of five Pokémon in your party whenever you are about to fight a legendary.",0,1,0,"Make sure you have QTF of QTF PERSON in NOUN whenever you are about to fight a legendary .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0
"Go to the back room in the basement of Meteor Falls.",1,1,1,"SVB to LCS in GNN of LOCATION Falls .",0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,1
"TM02 is located on the northern shore, lying on the ground.",1,1,1,"NOUN SVB on GNN SVB on GNN",0,0,2,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,2
"The item is up the mountain path, to the left of a rock directly north of the path.",1,1,1,"NOUN is up GNN , to NOUN of GNN directly north of GNN",0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,3
"Go in the middle house in the top section of Fortree City.",1,1,1,"SVB in GNN in GNN of LOCATION .",0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,2
"To get to TM11, you'll need Surf.",0,1,0,"To get to NOUN , you 'll need NOUN .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Can be purchased for $3000 from the right hand cashier on the fourth floor.",1,1,1,"Can be purchased for $ 3000 from NOUN cashier on GNN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
"Given to you by the man living on the left side of Sootopolis City, in the square house northwest of the PokeMart.",1,1,1,"Given to you by NOUN on GNN of LOCATION , in GNN northwest of NOUN",0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,1,0,0,2
"Defeat Petalburg City's Gym Leader, Norman.",1,0,0,"NOUN LOCATION GNN , PERSON .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"Given to you as a present from Steven.",0,0,0,"Given to you as a SVB from PERSON .",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Trick House: Awarded at the completion of the seventh challenge.",0,0,0,"NOUN GNN : Awarded at NOUN of NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"New Mauville: held by wild Magnemite and wild Magneton.",0,0,0,"NOUN : SVB by NOUN",0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"Shoal Salts are found during low tide, Shoal Shells during high tide.",0,0,0,"GNN NOUN SVB during GNN NOUN during GNN",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3
"Daily gift from Kiri, Mossdeep City.",1,0,0,"Daily NOUN from PERSON , LOCATION .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
"Given to you by Capt. Stern in exchange for the Scanner (may only choose one of the items).",0,0,0,"Given to you by Capt. PERSON in NOUN for the Scanner -LRB- may only choose QTF of NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
"Near Mossdeep City's entrance is a trainer who will be willing to teach your Pokemon the move DynamicPunch.",1,1,1,"Near LOCATION LCS is a trainer who will be willing to teach your NOUN .",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
"Each move tutor, except for the Battle Frontier move tutors, can only teach one of your Pokemon their respective move.",1,0,0,"NOUN tutor , except for ORG SVB NOUN , can only teach QTF of your NOUN",0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0
"Caverns or caves are naturally formed cavities in the stone layer of a map.",0,1,0,"GNN are naturally formed NOUN in NOUN layer of NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"Most caverns have tunnels branching off as catacombs and winding in all sorts of directions.",1,1,1,"GNN SVB as NOUN and SVB in NOUN of NOUN .",0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1
"Caverns are not ravines but will often lead into them.",1,1,1,"GNN are GNN will often lead into them .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"One should never go into a cavern without a good supply of any lighting and weapons.",1,1,1,"QTF SVB into GNN without GNN of NOUN",0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,0,1,0,0,0,0,2
"Leave all your valuables back in a safe place on the surface.",1,1,1,"SVB NOUN back in NOUN on LCS .",0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0
"Caverns can be and will be very dark.",0,0,0,"GNN can be and will be very dark .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rather than bringing many stacks of torches, bring wood and coal to make more",0,0,0,"Rather than bringing NOUN of NOUN GNN to make more",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"Optionally, a bucket of milk can help remove any status effects inflicted on you, especially cave spider poison and witches.",0,0,0,"ORG , NOUN of NOUN can help remove NOUN inflicted on you , especially GNN NOUN NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1
"It is surprisingly easy to get lost in caverns",0,0,0,"It is surprisingly easy to get lost in GNN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"It's a good idea to swim upwards and light the path of the flow.",0,1,0,"It 's NOUN to swim NOUN and light GNN of GNN",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,2
"Here are some general miscellaneous tips that can help you when exploring caverns.",0,0,0,"Here are LCS that can help you when SVB GNN .",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
"Dyes are a set of 16 items used to change the color of wool, leather armor, terracotta, certain mobs, the patterns on banners, shulker boxes, glass, concrete powder and beds.",0,0,0,"NOUN are NOUN of QTF NOUN used to change NOUN of NOUN , NOUN NOUN , NOUN on banners , shulker GNN and beds .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1
"Most dyes are produced by crafting various flowers or other items, or by combining other dyes.",0,0,0,"NOUN are produced by crafting GNN or by combining NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"They can also be traded in amounts of 1–2 per emerald from cleric villagers.",0,0,0,"They can also be traded in NOUN of QTF -- QTF per NOUN from GNN",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,0,0,1
"A pod that is not fully grown will only yield one cocoa bean.",0,0,0,"NOUN that is not fully grown will only yield QTF NOUN .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"In Bedrock Edition ink sacs can be found in 40.0% of stronghold storeroom chests in stacks of 1–3.",0,1,0,"In NOUN SVB in 40.0 % of NOUN in NOUN of QTF -- QTF .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0
"Players can dye wool by placing white wool and a dye in a crafting grid.",0,1,0,"NOUN can dye NOUN by SVB NOUN a dye in a crafting NOUN",0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0
"The color of a dye item depends on its metadata.",0,0,0,"NOUN of a dye NOUN depends on NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Sheep will now have the ability to regrow their wool by eating grass",0,0,0,"NOUN will now have NOUN to regrow NOUN by eating GNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"How many Good Taste Co. dips can you spot in our festive feast scenario? ",0,0,0,"How NOUN GNN can you spot in NOUN ?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
"Give us your answer and you could be in to WIN a Good Taste Co. prize pack to help you with your holiday preparations.",0,0,0,"Give us NOUN you could be in to WIN ORG NOUN to help you with NOUN GNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1
"Competition ends 10am Wed 19th December 2018.",0,0,0,"NOUN SVB 10 am Wed 19th December 2018 .",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Do you have an emergency kit or a first aid kit in your car?",0,1,0,"Do you have NOUN or NOUN in GNN",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1
"Accumulate 3 cents per litre when you spend $30 or more in a single transaction on the AA Online Store",0,0,0,"NOUN 3 cents per NOUN when you spend $ 30 or more in NOUN on NOUN GNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
"Plus, use the code FREESHIP at the online checkout to get free shipping off all retail orders over $75 between 10 December and 14 December 2018.",0,0,0,"NOUN , use NOUN at NOUN to get GNN off NOUN over $ 75 between 10 December and 14 December 2018 .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1
"To enter, just tell us your favourite beach in New Zealand for a summer getaway in the comments below. Good luck!",1,1,1,"To enter , just tell us GNN in LOCATION for a summer NOUN in NOUN below .",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1
"Simply swipe your registered AA Smartfuel or AA Membership card and choose to accumulate or redeem your discounts instantly on up to 50 litres of fuel.",0,0,0,"Simply NOUN your registered NOUN NOUN and choose to accumulate or redeem NOUN instantly on up to QTF NOUN of NOUN .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0
"IT WAS A chastened Emmanuel Macron who addressed the French nation on December 10th in an attempt to defuse the first real political crisis of his presidency.",0,0,0,"IT WAS A chastened PERSON who addressed NOUN on December 10th in NOUN to defuse NOUN of NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0
"Whether this is enough to restore his authority depends as much on public opinion as on the protesters themselves.",0,0,0,"Whether this is enough to restore NOUN depends as much on NOUN as on NOUN themselves .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Mr Macron’s 13-minute address, watched by a staggering 21m people, was the first time he had spoken publicly since violence engulfed parts of central Paris on December 1st, as part of the countrywide gilets jaunes (“yellow vests”) movement.",1,1,1,"NOUN PERSON GNN watched by a staggering QTF NOUN , was NOUN he had spoken publicly since violence engulfed LCS of LCS LOCATION on December 1st , as LCS of NOUN jaunes NOUN .",0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,1,1,1,0,0,1
"An increase in social charges on pensions would be cancelled for those on below €2,000 a month.",0,0,0,"NOUN in NOUN on NOUN would be cancelled for those on below $ 2,000 a month .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Without compensating cuts to spending, this will inevitably strain the budget deficit, which was already forecast to rise in 2019 to 2.8% of GDP, considerably higher than Italy’s, and only just inside the Maastricht limit of 3%.",1,0,0,"Without compensating GNN to NOUN , this will inevitably strain NOUN , which was already forecast to rise in 2019 to 2.8 % of NOUN , considerably higher than LOCATION 's , and only just inside MISC NOUN of 3 % .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1
"Mr Macron also ruled out bringing back the wealth tax that he scrapped as one of his first actions in office.",0,0,0,"NOUN PERSON also ruled out bringing back NOUN that he scrapped as QTF of NOUN in GNN .",0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,1,1,0,0,0,1
"Reversing that is a central demand of many of the gilets jaunes, whose original complaint against a rise in green taxes on diesel and petrol at the pump has since broadened to anger at what they consider to be unfair taxation.",0,0,0,"Reversing that is LCS of many of NOUN jaunes , NOUN against GNN in green NOUN on NOUN at GNN has since broadened to NOUN at what they consider to be NOUN",0,0,0,0,0,0,0,0,2,2,0,0,1,0,6,0,0,0,0,0,0,2
"A philosophy graduate and rationalist, Mr Macron does not do folksy politics, and 1 to style he opted for a conventional form of address, sitting at the gilt-edged desk in the Elysée palace, framed by the emblems of presidential power.",1,1,1,"A NOUN NOUN PERSON does NOUN QTF to NOUN he opted for a conventional NOUN of GNN , SVB at NOUN in NOUN GNN , framed by NOUN of NOUN",0,0,0,1,0,0,0,0,1,1,0,0,0,1,9,0,1,1,0,0,0,2
"But many of those who have been protesting on roundabouts in rural parts of France for the past four weeks are as angry about what they feel to be the president’s lack of respect for them as they are about their own difficulties making ends meet.",1,1,1,"But many of those who have been protesting on NOUN in LCS of LOCATION for the past QTF weeks are as angry about what they feel to be the president 's NOUN of NOUN for them as they are about NOUN making LCS meet .",0,0,0,0,0,0,1,0,0,1,0,0,2,0,4,0,1,0,1,0,0,0
"He will now meet regularly with mayors, union leaders and others, Mr Macron said, in order to listen more. ",0,0,0,"He SVB with NOUN and QTF , PERSON said , in NOUN to listen more .",0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0
"Their anger captures a sense of being left behind that has been rising for over a decade throughout Western democracies, not just in France.",1,0,0,"NOUN captures NOUN of SVB behind that has been rising for over a decade throughout NOUN not just in LOCATION .",0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0
"Yet it is hard to see how the president can emerge from this drama with anything like the same reformist momentum.",0,0,0,"Yet it is hard to see how the president SVB from NOUN with NOUN like NOUN .",0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"But he has now shown that, despite his promise not to behave like his predecessors, he too will back down if put under pressure on the street.",0,0,0,"But he SVB that , despite NOUN not to behave like NOUN he too SVB if put under NOUN on GNN",0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,1
"The former ruling party, the Republicans, received under 5%, less than the minimum required to enter parliament.",0,0,0,"NOUN MISC , received under 5 % , less than QTF required to SVB NOUN .",0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0
"Mr Pashinyan has referred to the election as the final stage of the velvet revolution that toppled Armenia’s previous government, and promised to use his new mandate to transform the country.",1,0,0,"NOUN PERSON has referred to NOUN as NOUN of NOUN that toppled LOCATION 's NOUN promised to use NOUN to transform GNN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,1
"The trigger for the protests that brought down Armenia’s previous leader, Serzh Sargsyan, was his attempt to remain in power by rewriting the constitution and becoming prime minister after ten years as president. ",1,0,0,"NOUN for NOUN that brought down LOCATION 's previous leader , PERSON , was NOUN to SVB in NOUN by rewriting NOUN becoming prime minister after QTF years as president .",0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,1,1,1,0,0,0
"The underlying cause was widespread corruption and the damage it had wrought on Armenia’s politics and its economy for decades. ",1,0,0,"The underlying NOUN was NOUN NOUN it had wrought on LOCATION 's NOUN and NOUN for decades .",0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0
"Cabbies in Yerevan say traffic police are afraid to demand bribes. ",1,1,1,"NOUN in LOCATION say NOUN are afraid to demand NOUN .",0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0
"Property prices in Yerevan this year are up by 20%.",1,0,0,"NOUN in LOCATION this year are up by 20 % .",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
"Senior officials say they will not go after ordinary people and small business owners who dispensed or took bribes but will hold corrupt high officials and oligarchs to account.",0,0,0,"NOUN say they SVB after NOUN who dispensed or took NOUN but SVB NOUN to account .",0,1,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0
"One of the biggest projects in years, a gold mine built by an American company, has been on hold for months after the government ordered a new environmental assessment.",1,0,0,"QTF of GNN in years , GNN built by NOUN has been on GNN for months after NOUN ordered NOUN",0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,3
"Mr Pashinyan and his ministers might be tempted to pursue closer ties with Europe and America, but know they are in no position to challenge Armenia’s dependence on Russia",1,0,0,"NOUN PERSON and NOUN might be tempted to SVB NOUN with LOCATION and LOCATION , but know they are in NOUN to challenge LOCATION 's NOUN on LOCATION",0,1,0,1,0,0,0,0,2,2,0,0,0,1,5,0,0,1,4,0,0,0
"To one side is Turkey, whose forbears presided over the killing of about a million Ottoman Armenians in 1915.",1,1,1,"To QTF GNN is LOCATION , NOUN presided over NOUN of about a QTF PERSON in 1915 .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,1
"To the other is Azerbajian, with which Armenia fought a war amid the collapse of the Soviet empire.",1,0,0,"To QTF is MISC , with which LOCATION fought a war amid NOUN of NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0
"Borders with both countries are closed.",1,1,1,"GNN with GNN are closed .",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2
"“Armenia showed this is not true” Zohrab Mnatsakanyan, the foreign minister, brings up the example of neighbouring Georgia, whose efforts to join NATO have been frustrated for over a decade.",1,1,1,"`` LOCATION SVB this is not true '' PERSON , the foreign minister , brings up NOUN of neighbouring LOCATION , NOUN to SVB ORG have been frustrated for over a decade .",0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,0,1,0
"The government’s struggle to get the deal through Parliament exposes a crack that Brexit has created at the heart of Britain’s democracy. ",1,0,0,"NOUN 's NOUN to get NOUN through ORG exposes NOUN that PERSON has created at LCS of LOCATION 's democracy .",0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,1,1,0,1,0
" As the people’s elected representatives, they have every right to block it. ",0,0,0,"As NOUN 's elected NOUN , they have NOUN to block it .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"On the other hand, the referendum of 2016 gave them a clear instruction to leave. ",0,0,0,"On NOUN NOUN of 2016 gave them a clear NOUN to leave .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Although that vote carries no legal weight, it has taken on a moral force like little else.",0,0,0,"Although NOUN carries NOUN it has taken on NOUN like little else .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"The government has largely given up arguing that its deal will be good for the country, instead insisting that it is what democracy demands. ",0,0,0,"NOUN has largely given up arguing that NOUN will be good for GNN instead insisting that it is what democracy NOUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"The notion that a Brexiteer could simply hop on a train to Brussels and negotiate a better one is fatuous.",1,1,1,"NOUN that PERSON could simply hop on a train to LOCATION and negotiate a better QTF is fatuous .",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
"That entails leaving the single market, a big loss.",0,1,0,"That entails SVB GNN NOUN",1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"But she has otherwise kept about as close an economic relationship with the EU as possible, partly to avoid introducing new border checks in Northern Ireland.",1,1,1,"But she has otherwise kept about as close NOUN with LOCATION as possible , partly to avoid introducing GNN NOUN in LOCATION .",0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,0,1
"The fallout could lead to further constitutional and territorial damage, including the rupture of the union with Northern Ireland and Scotland.",1,1,1,"NOUN could lead to LCS including NOUN of NOUN with GNN",0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1
"New barriers to trade will sever its dynamic services industry from its largest market and could damage Britain’s manufacturing supply chains.",1,0,0,"GNN to trade will sever GNN from GNN could damage LOCATION GNN NOUN",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4
"Mrs May has spent the past fortnight on a virtual referendum campaign, trying to persuade the public of the deal’s merits, and in turn to persuade MPS that the deal has the public’s backing.",0,0,0,"NOUN May has spent the past fortnight on NOUN , trying to persuade NOUN of NOUN 's NOUN , and in NOUN to persuade NOUN that NOUN has NOUN 's LCS",0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0
"The path to a second referendum is treacherous.",0,0,0,"GNN to NOUN is treacherous .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"The rejection of Mrs May’s deal would raise the risk of leaving with no deal at all, a disaster for Britain and bad news for its neighbours.",1,1,1,"NOUN of NOUN May 's NOUN would raise NOUN of SVB with NOUN at all , a disaster for NOUN for NOUN",0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0
"Still officially called the Royal Museum for Central Africa, but better known as the Africa Museum, it cannot help but ooze colonial triumphalism, despite recent protestations of egalitarian diversity.",1,0,0,"Still officially called LOCATION for LOCATION , but better known as LOCATION , it can not help but ooze colonial NOUN , despite NOUN of GNN",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,3,0,0,1
"Housed in a majestic purpose-built palace 20 minutes’ drive east of Brussels, it stands above a lake amid parkland. ",1,1,1,"SVB in GNN 20 minutes GNN of LOCATION , it SVB above GNN amid GNN .",0,0,2,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,1,0,0,4
"Immaculate gravel paths sweep around the site.",1,1,1,"GNN NOUN around GNN",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
"However radically the interior may have been refashioned to reflect new attitudes to Africa, the grandeur of King Leopold II’s design and the fervour of his desire to promote his imperial venture into the continent’s heart still overwhelm the visitor.",1,1,1,"However radically NOUN may have been refashioned to reflect NOUN to LOCATION , NOUN of King PERSON 's NOUN and NOUN of NOUN to promote NOUN into GNN LCS still overwhelm NOUN",0,0,0,0,0,0,0,0,2,2,0,0,1,0,8,0,0,1,1,0,0,1
